Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR11780548_2	(11.0, 21.0)	(12.0, 923.0)	(13.0, 3511.0)	(14.0, 4610.0)	(15.0, 4442.0)	(16.0, 4109.0)	(17.0, 4454.0)	(18.0, 5955.0)	(19.0, 9270.0)	(20.0, 15843.0)	(21.0, 26449.0)	(22.0, 40263.0)	(23.0, 56886.0)	(24.0, 77062.0)	(25.0, 98721.0)	(26.0, 123554.0)	(27.0, 155099.0)	(28.0, 194603.0)	(29.0, 250038.0)	(30.0, 339763.0)	(31.0, 603544.0)	(32.0, 1102712.0)	(33.0, 1505077.0)	(34.0, 2759348.0)	(35.0, 4975832.0)	(36.0, 15720429.0)	(37.0, 1210029.0)
SRR11780549_1	(14.0, 22.0)	(15.0, 138.0)	(16.0, 352.0)	(17.0, 728.0)	(18.0, 1674.0)	(19.0, 3524.0)	(20.0, 6647.0)	(21.0, 10772.0)	(22.0, 15756.0)	(23.0, 22713.0)	(24.0, 33224.0)	(25.0, 49594.0)	(26.0, 74444.0)	(27.0, 113536.0)	(28.0, 164988.0)	(29.0, 230956.0)	(30.0, 305420.0)	(31.0, 393021.0)	(32.0, 507392.0)	(33.0, 681408.0)	(34.0, 1090290.0)	(35.0, 2376066.0)	(36.0, 22107989.0)	(37.0, 4305473.0)			
SRR11780549_2	(11.0, 17.0)	(12.0, 525.0)	(13.0, 2035.0)	(14.0, 2743.0)	(15.0, 2838.0)	(16.0, 2807.0)	(17.0, 3405.0)	(18.0, 5062.0)	(19.0, 8135.0)	(20.0, 14242.0)	(21.0, 22928.0)	(22.0, 35385.0)	(23.0, 51459.0)	(24.0, 71285.0)	(25.0, 94611.0)	(26.0, 120523.0)	(27.0, 153914.0)	(28.0, 194452.0)	(29.0, 254346.0)	(30.0, 351384.0)	(31.0, 634419.0)	(32.0, 1132468.0)	(33.0, 1527971.0)	(34.0, 2814604.0)	(35.0, 5308290.0)	(36.0, 18243377.0)	(37.0, 1442902.0)
SRR11780550_1	(13.0, 5.0)	(14.0, 56.0)	(15.0, 240.0)	(16.0, 558.0)	(17.0, 1021.0)	(18.0, 1685.0)	(19.0, 3086.0)	(20.0, 5268.0)	(21.0, 8485.0)	(22.0, 13078.0)	(23.0, 19851.0)	(24.0, 30213.0)	(25.0, 45377.0)	(26.0, 67975.0)	(27.0, 100264.0)	(28.0, 142748.0)	(29.0, 194154.0)	(30.0, 253148.0)	(31.0, 323592.0)	(32.0, 417366.0)	(33.0, 605634.0)	(34.0, 1017107.0)	(35.0, 2007241.0)	(36.0, 16606207.0)	(37.0, 3478153.0)		
SRR11780550_2	(11.0, 45.0)	(12.0, 1102.0)	(13.0, 4224.0)	(14.0, 5493.0)	(15.0, 5118.0)	(16.0, 4705.0)	(17.0, 5071.0)	(18.0, 6056.0)	(19.0, 8921.0)	(20.0, 15045.0)	(21.0, 23769.0)	(22.0, 35826.0)	(23.0, 50317.0)	(24.0, 66589.0)	(25.0, 84933.0)	(26.0, 105384.0)	(27.0, 132275.0)	(28.0, 164892.0)	(29.0, 211713.0)	(30.0, 290587.0)	(31.0, 521846.0)	(32.0, 953131.0)	(33.0, 1298419.0)	(34.0, 2407797.0)	(35.0, 4295918.0)	(36.0, 13579685.0)	(37.0, 1063651.0)
SRR11780551_1	(14.0, 16.0)	(15.0, 74.0)	(16.0, 243.0)	(17.0, 574.0)	(18.0, 1363.0)	(19.0, 2668.0)	(20.0, 4796.0)	(21.0, 8057.0)	(22.0, 12388.0)	(23.0, 18129.0)	(24.0, 27580.0)	(25.0, 42047.0)	(26.0, 66079.0)	(27.0, 101459.0)	(28.0, 148605.0)	(29.0, 209011.0)	(30.0, 275712.0)	(31.0, 353177.0)	(32.0, 454149.0)	(33.0, 602955.0)	(34.0, 925030.0)	(35.0, 2071207.0)	(36.0, 20559807.0)	(37.0, 4653479.0)			
SRR11780551_2	(11.0, 17.0)	(12.0, 640.0)	(13.0, 2281.0)	(14.0, 2778.0)	(15.0, 2838.0)	(16.0, 2636.0)	(17.0, 3011.0)	(18.0, 4118.0)	(19.0, 6810.0)	(20.0, 11855.0)	(21.0, 19574.0)	(22.0, 30835.0)	(23.0, 44753.0)	(24.0, 62657.0)	(25.0, 82754.0)	(26.0, 106152.0)	(27.0, 135503.0)	(28.0, 172832.0)	(29.0, 224907.0)	(30.0, 309754.0)	(31.0, 557631.0)	(32.0, 1044332.0)	(33.0, 1425976.0)	(34.0, 2676015.0)	(35.0, 4957763.0)	(36.0, 17213682.0)	(37.0, 1436501.0)
SRR11780552_1	(14.0, 25.0)	(15.0, 123.0)	(16.0, 287.0)	(17.0, 582.0)	(18.0, 1409.0)	(19.0, 2979.0)	(20.0, 5412.0)	(21.0, 8694.0)	(22.0, 13704.0)	(23.0, 20658.0)	(24.0, 30340.0)	(25.0, 44155.0)	(26.0, 65505.0)	(27.0, 97888.0)	(28.0, 140256.0)	(29.0, 194811.0)	(30.0, 255843.0)	(31.0, 330314.0)	(32.0, 429294.0)	(33.0, 589085.0)	(34.0, 989901.0)	(35.0, 2175282.0)	(36.0, 18757862.0)	(37.0, 3512638.0)			
SRR11780552_2	(11.0, 28.0)	(12.0, 1148.0)	(13.0, 4376.0)	(14.0, 5460.0)	(15.0, 4866.0)	(16.0, 4410.0)	(17.0, 4408.0)	(18.0, 5456.0)	(19.0, 8090.0)	(20.0, 13385.0)	(21.0, 21980.0)	(22.0, 32835.0)	(23.0, 45109.0)	(24.0, 59899.0)	(25.0, 75279.0)	(26.0, 94033.0)	(27.0, 119194.0)	(28.0, 150436.0)	(29.0, 196975.0)	(30.0, 275428.0)	(31.0, 516795.0)	(32.0, 1005606.0)	(33.0, 1368943.0)	(34.0, 2571739.0)	(35.0, 4560460.0)	(36.0, 15163712.0)	(37.0, 1356997.0)
SRR11780553_1	(13.0, 1.0)	(14.0, 14.0)	(15.0, 79.0)	(16.0, 199.0)	(17.0, 502.0)	(18.0, 1136.0)	(19.0, 2481.0)	(20.0, 4506.0)	(21.0, 7343.0)	(22.0, 11500.0)	(23.0, 17834.0)	(24.0, 27433.0)	(25.0, 43000.0)	(26.0, 66803.0)	(27.0, 103134.0)	(28.0, 152306.0)	(29.0, 212003.0)	(30.0, 278704.0)	(31.0, 357398.0)	(32.0, 458187.0)	(33.0, 606295.0)	(34.0, 926108.0)	(35.0, 2117033.0)	(36.0, 20299189.0)	(37.0, 4112245.0)		
SRR11780553_2	(11.0, 75.0)	(12.0, 2322.0)	(13.0, 7579.0)	(14.0, 8834.0)	(15.0, 7856.0)	(16.0, 6848.0)	(17.0, 6885.0)	(18.0, 7987.0)	(19.0, 11221.0)	(20.0, 17347.0)	(21.0, 27678.0)	(22.0, 41985.0)	(23.0, 59544.0)	(24.0, 81226.0)	(25.0, 105702.0)	(26.0, 133376.0)	(27.0, 167541.0)	(28.0, 212001.0)	(29.0, 275538.0)	(30.0, 379491.0)	(31.0, 673933.0)	(32.0, 1195693.0)	(33.0, 1725894.0)	(34.0, 3194563.0)	(35.0, 5691751.0)	(36.0, 14792104.0)	(37.0, 970459.0)
SRR11780554_1	(13.0, 1.0)	(14.0, 14.0)	(15.0, 83.0)	(16.0, 242.0)	(17.0, 541.0)	(18.0, 1242.0)	(19.0, 2477.0)	(20.0, 4555.0)	(21.0, 7526.0)	(22.0, 11793.0)	(23.0, 18742.0)	(24.0, 28760.0)	(25.0, 44393.0)	(26.0, 69258.0)	(27.0, 105199.0)	(28.0, 153967.0)	(29.0, 213063.0)	(30.0, 279947.0)	(31.0, 357534.0)	(32.0, 457030.0)	(33.0, 605222.0)	(34.0, 938236.0)	(35.0, 2073856.0)	(36.0, 20256044.0)	(37.0, 4220755.0)		
SRR11780554_2	(11.0, 49.0)	(12.0, 1760.0)	(13.0, 5569.0)	(14.0, 6806.0)	(15.0, 5861.0)	(16.0, 5291.0)	(17.0, 5299.0)	(18.0, 6357.0)	(19.0, 9087.0)	(20.0, 15043.0)	(21.0, 24504.0)	(22.0, 37727.0)	(23.0, 54627.0)	(24.0, 73610.0)	(25.0, 96214.0)	(26.0, 120345.0)	(27.0, 153019.0)	(28.0, 192533.0)	(29.0, 251066.0)	(30.0, 346578.0)	(31.0, 623739.0)	(32.0, 1128794.0)	(33.0, 1599890.0)	(34.0, 2990216.0)	(35.0, 5315772.0)	(36.0, 15606556.0)	(37.0, 1174168.0)
SRR11780556_1	(13.0, 6.0)	(14.0, 39.0)	(15.0, 196.0)	(16.0, 508.0)	(17.0, 1004.0)	(18.0, 2064.0)	(19.0, 3791.0)	(20.0, 6542.0)	(21.0, 10191.0)	(22.0, 15264.0)	(23.0, 22945.0)	(24.0, 34402.0)	(25.0, 51635.0)	(26.0, 78059.0)	(27.0, 117046.0)	(28.0, 169470.0)	(29.0, 234651.0)	(30.0, 307984.0)	(31.0, 400164.0)	(32.0, 546970.0)	(33.0, 910616.0)	(34.0, 1356113.0)	(35.0, 2716701.0)	(36.0, 20648126.0)	(37.0, 3632256.0)		
SRR11780556_2	(11.0, 38.0)	(12.0, 1340.0)	(13.0, 4822.0)	(14.0, 6287.0)	(15.0, 5808.0)	(16.0, 5423.0)	(17.0, 5670.0)	(18.0, 7083.0)	(19.0, 10405.0)	(20.0, 17356.0)	(21.0, 28371.0)	(22.0, 42349.0)	(23.0, 58848.0)	(24.0, 77714.0)	(25.0, 99682.0)	(26.0, 124617.0)	(27.0, 154654.0)	(28.0, 195386.0)	(29.0, 251710.0)	(30.0, 344575.0)	(31.0, 621480.0)	(32.0, 1117457.0)	(33.0, 1526244.0)	(34.0, 2836766.0)	(35.0, 5175540.0)	(36.0, 17151001.0)	(37.0, 1396117.0)
SRR11780558_1	(13.0, 2.0)	(14.0, 18.0)	(15.0, 80.0)	(16.0, 211.0)	(17.0, 510.0)	(18.0, 1124.0)	(19.0, 2350.0)	(20.0, 4179.0)	(21.0, 6792.0)	(22.0, 10549.0)	(23.0, 16291.0)	(24.0, 25448.0)	(25.0, 40079.0)	(26.0, 62749.0)	(27.0, 96660.0)	(28.0, 143448.0)	(29.0, 202126.0)	(30.0, 270146.0)	(31.0, 351121.0)	(32.0, 462785.0)	(33.0, 704823.0)	(34.0, 1149920.0)	(35.0, 2267286.0)	(36.0, 19640996.0)	(37.0, 4428365.0)		
SRR11780558_2	(11.0, 20.0)	(12.0, 651.0)	(13.0, 2583.0)	(14.0, 3680.0)	(15.0, 3484.0)	(16.0, 3363.0)	(17.0, 3490.0)	(18.0, 4500.0)	(19.0, 6671.0)	(20.0, 11206.0)	(21.0, 18582.0)	(22.0, 28773.0)	(23.0, 41844.0)	(24.0, 57520.0)	(25.0, 75231.0)	(26.0, 95620.0)	(27.0, 122431.0)	(28.0, 155668.0)	(29.0, 203793.0)	(30.0, 285149.0)	(31.0, 526466.0)	(32.0, 1012855.0)	(33.0, 1368176.0)	(34.0, 2582442.0)	(35.0, 4707250.0)	(36.0, 17070599.0)	(37.0, 1496011.0)
