Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR11780546_2 - polya	(1, 0.010869462357607641)	(2, 0.01754021999523933)	(3, 0.02179424745424409)	(4, 0.027463372343143656)	(5, 0.032483182979231404)	(6, 0.037680608724832705)	(7, 0.04365255281683733)	(8, 0.05447251588162972)	(9, 0.06736562579844907)	(10, 0.08270167140185637)	(12, 0.0955117972101325)	(14, 0.1135237163486701)	(16, 0.1350238797691295)	(18, 0.15022161852496474)	(20, 0.16659569341593894)	(22, 0.1835885094671037)	(24, 0.2004284600551626)	(26, 0.2198845938546628)	(28, 0.23606503915903615)	(30, 0.2513559530542884)	(32, 0.26455770562042635)	(34, 0.2780579098050092)	(36, 0.29035702820804554)	(38, 0.3021553302367158)	(40, 0.31593651570110287)	(42, 0.3281642968880231)	(44, 0.34074002898620354)	(46, 0.3541849104317576)	(48, 0.3659555510909135)	(50, 0.37797077649103883)	(52, 0.39219017628299624)	(54, 0.4106315745797837)	(56, 0.42523241009872925)	(58, 0.4380803883073935)	(60, 0.4506721348826612)	(62, 0.46275724163734927)	(64, 0.47523251928834576)	(66, 0.4880848650816702)	(68, 0.5008993584746064)	(70, 0.5154274009158825)	(72, 0.5284893907728951)	(74, 0.5393253683147747)	(76, 0.5533991819513931)	(78, 0.5652338805188981)	(80, 0.5746984364774848)	(82, 0.5842343296521874)	(84, 0.5971580126616279)	(86, 0.6108620374636854)	(88, 0.6208041160117838)	(90, 0.631481404644344)	(92, 0.6415778045171017)	(94, 0.6546863819438227)	(96, 0.664755120447066)	(98, 0.6732311464109009)	(100, 0.6820012564085205)	(102, 0.6905879278504132)	(104, 0.6988834269816278)	(106, 0.7060025899777035)	(108, 0.7146533193279452)	(110, 0.7227348068108115)	(112, 0.7302907282729041)	(114, 0.7377622097649001)	(116, 0.7453487043196141)	(118, 0.7526367472558829)	(120, 0.7603047700575866)	(122, 0.7684954471569572)	(124, 0.775447186074393)	(126, 0.7822111188514417)	(128, 0.7884334711306293)	(130, 0.7949178784894272)	(132, 0.8020050125313283)	(134, 0.8093425547604125)	(136, 0.8160657234139662)	(138, 0.8221206516145141)
SRR11780546_2 - polyg	(1, 0.31248612381956925)	(2, 0.31499602913761315)	(3, 0.315156173908486)	(4, 0.315327965571786)	(5, 0.3154531696653775)	(6, 0.31564534339042494)	(7, 0.31583460539236563)	(8, 0.3163790976133334)	(9, 0.31716235112905705)	(10, 0.3181537928469155)	(12, 0.31981638674088647)	(14, 0.32088498912107455)	(16, 0.3213479530950525)	(18, 0.32166824263679816)	(20, 0.32205259008689313)	(22, 0.3224442168447549)	(24, 0.32273393329387945)	(26, 0.3230731490358193)	(28, 0.32342837925484635)	(30, 0.32372683087329124)	(32, 0.32402673835328955)	(34, 0.324357218925909)	(36, 0.32467022915988786)	(38, 0.32506185591774966)	(40, 0.32554083436881487)	(42, 0.3260693121126953)	(44, 0.3265715843486148)	(46, 0.3271233558773495)	(48, 0.32760670191307484)	(50, 0.3281366355185087)	(52, 0.3286694808470494)	(54, 0.32937411783889)	(56, 0.3301981354781086)	(58, 0.33097119796295854)	(60, 0.3317398928631483)	(62, 0.3326250566876092)	(64, 0.3346545276930345)	(66, 0.3367829972840903)	(68, 0.3388343062128164)	(70, 0.3412029929601815)	(72, 0.3439356450958939)	(74, 0.3470846736358759)	(76, 0.3504273317624587)	(78, 0.35403786841486523)	(80, 0.3581812503958124)	(82, 0.3623537496078273)	(84, 0.3674026774749828)	(86, 0.37313440441067813)	(88, 0.3799507482036488)	(90, 0.3873785538490432)	(92, 0.3960540328456925)	(94, 0.40695698001902814)	(96, 0.41986901613604155)	(98, 0.4365837626305089)	(100, 0.45673143066786925)	(102, 0.48026543267841404)	(104, 0.5087391729396101)	(106, 0.5462494458626963)	(108, 0.5929986162035935)	(110, 0.651889671899761)	(112, 0.7289833645979602)	(114, 0.8237322903541164)	(116, 0.9356778527789121)	(118, 1.075693881814615)	(120, 1.2627982969331548)	(122, 1.4839553137854802)	(124, 1.757155013586828)	(126, 2.0569460246608386)	(128, 2.4098687031258077)	(130, 2.8585710573267322)	(132, 3.3840264326223632)	(134, 3.982419015881266)	(136, 4.630717077328814)	(138, 5.355808923994564)
SRR11780547_1 - illumina_universal_adapter	(1, 0.001421225577634295)	(2, 0.0014821352452471933)	(3, 0.0016513287663941331)	(4, 0.001905119048114543)	(5, 0.0019626448453045025)	(6, 0.0020607770875697277)	(7, 0.002155525459412014)	(8, 0.0023281028509818925)	(9, 0.0024160834819783013)	(10, 0.0027257076256772014)	(12, 0.0031385398172757346)	(14, 0.0037560961694620655)	(16, 0.004798328259727215)	(18, 0.005669674893633955)	(20, 0.006437813479641062)	(22, 0.007205952065648169)	(24, 0.007889493891081806)	(26, 0.008606874420744832)	(28, 0.009562817815225041)	(30, 0.011374880426708768)	(32, 0.013762201010092089)	(34, 0.016306871568142065)	(36, 0.018925987275496693)	(38, 0.021917328729374592)	(40, 0.025142157242435265)	(42, 0.02926540335278619)	(44, 0.03379471391388977)	(46, 0.039386559787796135)	(48, 0.047067945647867204)	(50, 0.05734814399275527)	(52, 0.0696755839435213)	(54, 0.08390137520155601)	(56, 0.10055340155283783)	(58, 0.12270760121181815)	(60, 0.15187656425755058)	(62, 0.18744104240263731)	(64, 0.22957022916822536)	(66, 0.28104566604197034)	(68, 0.346472800669492)	(70, 0.4304249339273921)	(72, 0.5417136643970033)	(74, 0.6859917476198447)	(76, 0.8598380905983254)	(78, 1.070561853445993)	(80, 1.3361618429424595)	(82, 1.6790595845101164)	(84, 2.1160204641594147)	(86, 2.6305904119588144)	(88, 3.2222719989561437)	(90, 3.9225199926678296)	(92, 4.771247144732436)	(94, 5.784002339743365)	(96, 6.923803257848321)	(98, 8.154647209682444)	(100, 9.486553835568058)	(102, 10.979559764548942)	(104, 12.647151412195718)	(106, 14.437164724003576)	(108, 16.25407303793295)	(110, 18.102818496736546)	(112, 20.03387998744855)	(114, 22.093597923575896)	(116, 24.228255054089644)	(118, 26.324784424612933)	(120, 28.36397241888431)	(122, 30.423996595284937)	(124, 32.53043393840659)	(126, 34.680678868023605)	(128, 36.77691553375531)	(130, 38.769830791928214)	(132, 40.724663972361355)	(134, 42.693895521444105)	(136, 44.68249803676298)	(138, 46.61903801368972)
SRR11780547_1 - polya	(1, 0.006368444135970817)	(2, 0.01054752410830023)	(3, 0.012618452807138775)	(4, 0.015457520091984426)	(5, 0.01770102618239285)	(6, 0.02028291931509515)	(7, 0.022969712430908555)	(8, 0.030373620916298645)	(9, 0.03907016790325135)	(10, 0.04825230029589578)	(12, 0.05435341866845443)	(14, 0.06468099119926364)	(16, 0.08009959678138427)	(18, 0.0888672050472187)	(20, 0.09869396475543296)	(22, 0.11024819031455749)	(24, 0.11988883714951012)	(26, 0.13272216572850554)	(28, 0.14355562688754409)	(30, 0.15390857844652533)	(32, 0.16307548342226652)	(34, 0.17228637871350594)	(36, 0.1803975161172902)	(38, 0.18875229219152612)	(40, 0.19945547433928154)	(42, 0.20815371326144572)	(44, 0.21769453591892166)	(46, 0.2281134729511502)	(48, 0.237026587645171)	(50, 0.24544565725744272)	(52, 0.2555803491741444)	(54, 0.26974523076456625)	(56, 0.28059222740529655)	(58, 0.2898234259190736)	(60, 0.2995300582272735)	(62, 0.3086648164339968)	(64, 0.3186404664408204)	(66, 0.32955514049000945)	(68, 0.33974059046305527)	(70, 0.351472469219384)	(72, 0.3626273980686018)	(74, 0.37112091283017823)	(76, 0.38282910449354646)	(78, 0.392696470646836)	(80, 0.4002577291068927)	(82, 0.40858205034732215)	(84, 0.42018872589800227)	(86, 0.43256015616426646)	(88, 0.44088278546948445)	(90, 0.4501528984931253)	(92, 0.45911169543785574)	(94, 0.47137822572100885)	(96, 0.48014075818120894)	(98, 0.48697448450033376)	(100, 0.4936085624645053)	(102, 0.5005438048963183)	(104, 0.5075737956999737)	(106, 0.5137781221204321)	(108, 0.520940083870582)	(110, 0.5271325667445599)	(112, 0.5330069657987817)	(114, 0.5384854520135196)	(116, 0.5443429317156268)	(118, 0.5500312178965868)	(120, 0.5550833364380345)	(122, 0.5595855760357545)	(124, 0.5643399139799835)	(126, 0.5694766292820046)	(128, 0.5742614220600402)	(130, 0.579245863193029)	(132, 0.5848004864922829)	(134, 0.5903348065689994)	(136, 0.5953090960907195)	(138, 0.599672597001099)
SRR11780547_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00036207413525445135)	(4, 0.00043990315498204364)	(5, 0.00048050960005730924)	(6, 0.000517732174709636)	(7, 0.0005617224902078403)	(8, 0.0006632386028960043)	(9, 0.0007782901972759234)	(10, 0.0008831901803870261)	(12, 0.001018544997304578)	(14, 0.001345088493118172)	(16, 0.0015836513579353573)	(18, 0.001747769073447889)	(20, 0.0019000432424801346)	(22, 0.0020675448284156054)	(24, 0.002155525459412014)	(26, 0.002324718980558954)	(28, 0.0025379028172040977)	(30, 0.0027612382651180586)	(32, 0.0030184124172614075)	(34, 0.0032908139863079807)	(36, 0.00351753330464488)	(38, 0.0037797832624226367)	(40, 0.004020038062451291)	(42, 0.0042687525385372935)	(44, 0.004713731499153745)	(46, 0.005160402394981666)	(48, 0.00554447168798522)	(50, 0.005942076462680529)	(52, 0.006327837690895551)	(54, 0.006740669882494084)	(56, 0.007199184324802292)	(58, 0.007713532629088989)	(60, 0.008317553499583564)	(62, 0.00897233242642222)	(64, 0.009628803288472348)	(66, 0.010655807961834272)	(68, 0.01398384452279458)	(70, 0.10124371111911734)	(72, 0.1124037157739695)	(74, 0.11472166701368258)	(76, 0.11613612485047099)	(78, 0.11738646497174689)	(80, 0.11867910347330951)	(82, 0.119978509715718)	(84, 0.12134897723700822)	(86, 0.12330823821188977)	(88, 0.1253081056318466)	(90, 0.12721322467996116)	(92, 0.1289863727815811)	(94, 0.13083396603250566)	(96, 0.13275431249752342)	(98, 0.13495552020764512)	(100, 0.13808390841365203)	(102, 0.14160482558871984)	(104, 0.14535753788775896)	(106, 0.14936573240372997)	(108, 0.15377322362960777)	(110, 0.1582889987090196)	(112, 0.1635306139941518)	(114, 0.16926965823145598)	(116, 0.17609323293931206)	(118, 0.18505202988404254)	(120, 0.19650643126569037)	(122, 0.2099133258813739)	(124, 0.22545713466914324)	(126, 0.24340687532762212)	(128, 0.266248000682459)	(130, 0.29628323455646377)	(132, 0.3323891319692207)	(134, 0.37551148470394125)	(136, 0.42638120877198027)	(138, 0.48999628078801816)
SRR11780547_2 - illumina_universal_adapter	(1, 0.0014449126705948665)	(2, 0.001505822338207765)	(3, 0.0016648642480858883)	(4, 0.0019288061410751144)	(5, 0.001986331938265074)	(6, 0.002087848050953238)	(7, 0.0021724448115267078)	(8, 0.0023450222030965864)	(9, 0.0024363867045159343)	(10, 0.0027443189130033647)	(12, 0.0031689946510821835)	(14, 0.0037882429384799837)	(16, 0.00529068140626481)	(18, 0.006119729659884815)	(20, 0.0068709488937772276)	(22, 0.0076576987671104985)	(24, 0.008349700268601483)	(26, 0.0090840001503792)	(28, 0.010097469342049373)	(30, 0.01198736097326069)	(32, 0.014493117021446868)	(34, 0.017181602072471745)	(36, 0.020042664515066498)	(38, 0.023191355943611047)	(40, 0.02655999894964662)	(42, 0.03081014020085775)	(44, 0.03549003299578211)	(46, 0.04119862239927986)	(48, 0.04911180338332224)	(50, 0.05944783559018879)	(52, 0.07178373521701217)	(54, 0.08607382001308272)	(56, 0.10294241407143262)	(58, 0.1253757830403054)	(60, 0.15466487348605212)	(62, 0.1904797580424364)	(64, 0.23271553672634698)	(66, 0.28423158004516724)	(68, 0.34972639208114764)	(70, 0.4338781736940011)	(72, 0.5453614767129313)	(74, 0.6895042051188552)	(76, 0.8633725432550851)	(78, 1.0743500963844732)	(80, 1.339833342351348)	(82, 1.6827750742345033)	(84, 2.119145468494999)	(86, 2.6327594728999184)	(88, 3.2233023874999285)	(90, 3.922020871780446)	(92, 4.769348793425166)	(94, 5.779082192148412)	(96, 6.915236989872652)	(98, 8.142192874590819)	(100, 9.469949183402697)	(102, 10.958378427636557)	(104, 12.620019539144597)	(106, 14.402067219976855)	(108, 16.209087864530403)	(110, 18.04769355561166)	(112, 19.966583264412353)	(114, 22.011610127098514)	(116, 24.12857976691156)	(118, 26.20846387882441)	(120, 28.23358173987721)	(122, 30.277811701078768)	(124, 32.366292535801094)	(126, 34.49346116106888)	(128, 36.56779572548811)	(130, 38.54099317070656)	(132, 40.476829302585315)	(134, 42.4253244937163)	(136, 44.38955975811959)	(138, 46.30099818424897)
SRR11780547_2 - polya	(1, 0.008199118034780706)	(2, 0.01375881713966915)	(3, 0.016790765038622313)	(4, 0.021023986937718748)	(5, 0.02467856699449265)	(6, 0.02819440836392606)	(7, 0.03196404001507988)	(8, 0.040850083745717164)	(9, 0.050862956327193065)	(10, 0.0626049866947907)	(12, 0.07138613044231687)	(14, 0.0847033524917925)	(16, 0.10221995773613518)	(18, 0.11418193968122384)	(20, 0.12704572309402568)	(22, 0.14101941600555146)	(24, 0.1538493607141239)	(26, 0.16902771149621587)	(28, 0.18185596426957684)	(30, 0.1941427977752676)	(32, 0.20490688959063594)	(34, 0.21580802815813327)	(36, 0.22555526691140848)	(38, 0.23567642334641842)	(40, 0.24790403911970776)	(42, 0.2578221633293414)	(44, 0.26877575188839425)	(46, 0.2809999837912607)	(48, 0.2910636144290807)	(50, 0.3013319692274884)	(52, 0.31346314469372405)	(54, 0.33005087750697)	(56, 0.34246122228309805)	(58, 0.3536415301604878)	(60, 0.3645460525984081)	(62, 0.37458938001369046)	(64, 0.38546852342343874)	(66, 0.396838328044513)	(68, 0.4079881810880964)	(70, 0.42094332900231757)	(72, 0.43295776093896177)	(74, 0.44249689166122624)	(76, 0.45471097195282384)	(78, 0.4655173621484789)	(80, 0.4740379478734388)	(82, 0.48289692064069256)	(84, 0.49517360253511455)	(86, 0.508328398804289)	(88, 0.5173278021940948)	(90, 0.5269532216121442)	(92, 0.5366666216611901)	(94, 0.5494762631472249)	(96, 0.5587920584215753)	(98, 0.5663414733351518)	(100, 0.5737707608487139)	(102, 0.581347246725674)	(104, 0.5891284567632217)	(106, 0.5959215766372714)	(108, 0.6036571044241095)	(110, 0.6107141661911483)	(112, 0.6168254361749758)	(114, 0.622589859440452)	(116, 0.6289853745398063)	(118, 0.6354096525377557)	(120, 0.6411859193497121)	(122, 0.6464258426996329)	(124, 0.6520193805087506)	(126, 0.6577719602277466)	(128, 0.6633231996565777)	(130, 0.669415858353079)	(132, 0.6761040782440175)	(134, 0.6825097449546407)	(136, 0.6882115666172925)	(138, 0.693140173888303)
SRR11780547_2 - polyg	(1, 0.1463625474033718)	(2, 0.14750967947674806)	(3, 0.1476450342936656)	(4, 0.14775331814719964)	(5, 0.14781084394438962)	(6, 0.14792927940919245)	(7, 0.14810524067118527)	(8, 0.14833195998952217)	(9, 0.14871433734731426)	(10, 0.14925068080935006)	(12, 0.15015925001790914)	(14, 0.1507683466940381)	(16, 0.15101536923491266)	(18, 0.15124208855324955)	(20, 0.15147557561243233)	(22, 0.15173951750542156)	(24, 0.15193409005474054)	(26, 0.15209820777025307)	(28, 0.15234353837591613)	(30, 0.15259732865763653)	(32, 0.15281051249428168)	(34, 0.15307107051684798)	(36, 0.1533231688633569)	(38, 0.1535888026915576)	(40, 0.1539271897338515)	(42, 0.1543078751564321)	(44, 0.154700404125493)	(46, 0.1550337153621525)	(48, 0.15533657176500548)	(50, 0.15575786363266136)	(52, 0.1562096103341237)	(54, 0.1567341102496792)	(56, 0.15729414080467558)	(58, 0.15789816167517018)	(60, 0.15848018738791564)	(62, 0.15922125501053924)	(64, 0.16064755639380796)	(66, 0.16203325133200136)	(68, 0.1635306139941518)	(70, 0.165178558890123)	(72, 0.16704307149316228)	(74, 0.16894142280043092)	(76, 0.17108679664857412)	(78, 0.1736483865587388)	(80, 0.17643161998160595)	(82, 0.17951601787211469)	(84, 0.1830978447147954)	(86, 0.18705189730399938)	(88, 0.19220553195813517)	(90, 0.19835402451661496)	(92, 0.20544154111746027)	(94, 0.2143022058199255)	(96, 0.22536407823251242)	(98, 0.23932423566234645)	(100, 0.2560930055432197)	(102, 0.27588187977656575)	(104, 0.30032019197102977)	(106, 0.3327495141692637)	(108, 0.3733644189205866)	(110, 0.4248669267577151)	(112, 0.4920079917544553)	(114, 0.5747690026234809)	(116, 0.6749247994016234)	(118, 0.8006457372250686)	(120, 0.9666854911378294)	(122, 1.1638280900430322)	(124, 1.4075851959594285)	(126, 1.6797837327806255)	(128, 2.0036082887093882)	(130, 2.4117758149299)	(132, 2.8852401967666506)	(134, 3.429183831772371)	(136, 4.019950081820295)	(138, 4.685175016654564)
SRR11780548_1 - illumina_universal_adapter	(1, 0.0016113313738132776)	(2, 0.0016830219645973428)	(3, 0.0017888509319452487)	(4, 0.0019936811913282924)	(5, 0.0021063378339889667)	(6, 0.002174614587116648)	(7, 0.002297512742746474)	(8, 0.0025194121904114383)	(9, 0.0025911027811955033)	(10, 0.0029341934656621016)	(12, 0.003319957120833501)	(14, 0.0039549309249209364)	(16, 0.004985909897148923)	(18, 0.00577279947694545)	(20, 0.006726967101904795)	(22, 0.007534339707639626)	(24, 0.008341712313374456)	(26, 0.009048376708245959)	(28, 0.009987182063751574)	(30, 0.0117811537521814)	(32, 0.014498568526663112)	(34, 0.018069442715240844)	(36, 0.02136891681013604)	(38, 0.02446868140213277)	(40, 0.02769817182507209)	(42, 0.031475583191861056)	(44, 0.03578384631421774)	(46, 0.04081754993855604)	(48, 0.048017333555870026)	(50, 0.057760426227190145)	(52, 0.06981468699188226)	(54, 0.08315084379654661)	(56, 0.09934267580077621)	(58, 0.121624794183995)	(60, 0.15123812893429855)	(62, 0.18756136159822495)	(64, 0.22975980886878838)	(66, 0.2802675369949906)	(68, 0.34635772710375784)	(70, 0.43271757829730545)	(72, 0.5467704805594406)	(74, 0.6912799354730061)	(76, 0.8642898140608941)	(78, 1.0763454608436747)	(80, 1.3451664001768096)	(82, 1.6921096004386373)	(84, 2.1354629899544073)	(86, 2.6567628277595663)	(88, 3.249514287712844)	(90, 3.946541418880373)	(92, 4.79221045544452)	(94, 5.805490386342983)	(96, 6.941231501651256)	(98, 8.149339147599559)	(100, 9.448051751867123)	(102, 10.901486306397324)	(104, 12.524752456657321)	(106, 14.259016124476986)	(108, 16.001553227856903)	(110, 17.75979739829384)	(112, 19.604939099355203)	(114, 21.567714818380253)	(116, 23.599219624022453)	(118, 25.577588046543035)	(120, 27.487563645455616)	(122, 29.425804113244233)	(124, 31.422950349793755)	(126, 33.453500987811)	(128, 35.424657678282465)	(130, 37.29660312570293)	(132, 39.132139994518056)	(134, 40.992205286894304)	(136, 42.88076417526956)	(138, 44.708495304283375)
SRR11780548_1 - polya	(1, 0.012337609290172002)	(2, 0.019800258407027562)	(3, 0.022910264511993444)	(4, 0.02806857321078976)	(5, 0.03180331160687393)	(6, 0.035920399820473105)	(7, 0.04046080390346391)	(8, 0.052835965407856136)	(9, 0.06847816954940791)	(10, 0.08500114380630677)	(12, 0.09568816258961707)	(14, 0.11452059802105977)	(16, 0.14239287556660743)	(18, 0.1590626448427308)	(20, 0.1773778838692313)	(22, 0.196717274192647)	(24, 0.2132163515859512)	(26, 0.23496761821360224)	(28, 0.2531719075162703)	(30, 0.2707941374985248)	(32, 0.2856255551966853)	(34, 0.30098270389392906)	(36, 0.31526620064823996)	(38, 0.32948654140590783)	(40, 0.34742455137137784)	(42, 0.36230888355321234)	(44, 0.378714080410966)	(46, 0.3977325699946816)	(48, 0.412891716107855)	(50, 0.4283000723699445)	(52, 0.4463302559521369)	(54, 0.4711403211199081)	(56, 0.49038241707011687)	(58, 0.5075557274005569)	(60, 0.5249270403150672)	(62, 0.5418204159576837)	(64, 0.560845733216712)	(66, 0.5812587754830606)	(68, 0.600408697816547)	(70, 0.6224057607554577)	(72, 0.6418578077215341)	(74, 0.6578772409241163)	(76, 0.6787289613293102)	(78, 0.6963528982303928)	(80, 0.709962162047568)	(82, 0.7254063636050494)	(84, 0.7469886452687095)	(86, 0.7702266381957158)	(88, 0.7859405329280517)	(90, 0.8037266271178125)	(92, 0.8204561385529228)	(94, 0.8431308482666257)	(96, 0.8592612311930403)	(98, 0.87180879149908)	(100, 0.8842846612143356)	(102, 0.8973067449546126)	(104, 0.910129119191991)	(106, 0.921319679029618)	(108, 0.934457833250212)	(110, 0.9461536410609839)	(112, 0.9564173439749025)	(114, 0.9667834620185127)	(116, 0.9774431701005719)	(118, 0.9881438442345079)	(120, 0.9983580465024089)	(122, 1.0081489329009186)	(124, 1.0175250380241772)	(126, 1.0269301607675154)	(128, 1.0355074278791805)	(130, 1.0447538071714966)	(132, 1.055193322724719)	(134, 1.0655765099566112)	(136, 1.0744951608339144)	(138, 1.0820448628110078)
SRR11780548_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0009217361672236968)	(4, 0.0011163249136375885)	(5, 0.0011811878291088857)	(6, 0.0012972583094259438)	(7, 0.0013757765755227772)	(8, 0.001474777867557915)	(9, 0.001642055912720734)	(10, 0.0018144547143681294)	(12, 0.002130234697583655)	(14, 0.002580861268226351)	(16, 0.0029495557351158297)	(18, 0.003171455182780794)	(20, 0.003432613763494175)	(22, 0.0037483937467097006)	(24, 0.00394981016843636)	(26, 0.00419389956086782)	(28, 0.004536990245334419)	(30, 0.004857890985034521)	(32, 0.005160015617624511)	(34, 0.005509933977403876)	(36, 0.0058718007689805875)	(38, 0.006196115346337073)	(40, 0.006602362027446777)	(42, 0.007042747085120321)	(44, 0.007609444136080075)	(46, 0.008208572644775479)	(48, 0.008693337591982014)	(50, 0.009215654753408777)	(52, 0.009794300236165874)	(54, 0.01041220485197139)	(56, 0.011001091847697642)	(58, 0.011641186408269652)	(60, 0.012380282260876802)	(62, 0.013119378113483952)	(64, 0.014198150812901315)	(66, 0.01559611733319059)	(68, 0.019547634420455144)	(70, 0.15196698327393654)	(72, 0.1957136059216701)	(74, 0.20113990087649258)	(76, 0.20398704148191688)	(78, 0.20602510256277817)	(80, 0.2080119560787937)	(82, 0.2099407743546507)	(84, 0.21198566311082473)	(86, 0.2143053657983377)	(88, 0.21701424597867847)	(90, 0.21954731351971546)	(92, 0.2220581911159859)	(94, 0.22470220838085536)	(96, 0.22704751485079122)	(98, 0.22971713589808357)	(100, 0.23312073204149847)	(102, 0.23714052588189072)	(104, 0.2420888835648194)	(106, 0.2473154690167434)	(108, 0.2525710720887467)	(110, 0.25738629010307634)	(112, 0.262653841606877)	(114, 0.2686468336126592)	(116, 0.27530040320495175)	(118, 0.2835823733593395)	(120, 0.2942062361460067)	(122, 0.30748265079168435)	(124, 0.32268446987556254)	(126, 0.3394395850930955)	(128, 0.36172170347631427)	(130, 0.39124115769106727)	(132, 0.4269208819567653)	(134, 0.46945388531765436)	(136, 0.5183366267194177)	(138, 0.5792668012105604)
SRR11780548_2 - illumina_universal_adapter	(1, 0.0016522974256898862)	(2, 0.0017239880164739516)	(3, 0.0018264031461654735)	(4, 0.0020209918925793648)	(5, 0.002130234697583655)	(6, 0.0022087529636804883)	(7, 0.0023282372816539306)	(8, 0.0025467228916625107)	(9, 0.0026184134824465757)	(10, 0.002956383410428598)	(12, 0.0033404401467718053)	(14, 0.003978827788515625)	(16, 0.005803524015852907)	(18, 0.006602362027446777)	(20, 0.007536046626467818)	(22, 0.008300746261497849)	(24, 0.009085928922466183)	(26, 0.009830145531557907)	(28, 0.010777485481204486)	(30, 0.012600474789713574)	(32, 0.01538616631732297)	(34, 0.019165284602940126)	(36, 0.0227054342526104)	(38, 0.025945166188518873)	(40, 0.029283899416462488)	(42, 0.033163725912942976)	(44, 0.03751978276248904)	(46, 0.04272929902613112)	(48, 0.050145861334625494)	(50, 0.05991967854485306)	(52, 0.07165474548867327)	(54, 0.08477583052098542)	(56, 0.10117249278459807)	(58, 0.12354678478453922)	(60, 0.1531788956419529)	(62, 0.18951749057533304)	(64, 0.23179957686847785)	(66, 0.2823038911570237)	(68, 0.3483479944574297)	(70, 0.4346532242484752)	(72, 0.5485695730043549)	(74, 0.6927239888016565)	(76, 0.8657065566882935)	(78, 1.0774839757020787)	(80, 1.3463134496293545)	(82, 1.6928435755347597)	(84, 2.135466403792064)	(86, 2.654912527749806)	(88, 3.2462847972899045)	(90, 3.941241435918836)	(92, 4.784956050424704)	(94, 5.794120600028396)	(96, 6.923971138460578)	(98, 8.126693455505935)	(100, 9.42052256500604)	(102, 10.869336490268328)	(104, 12.485650360141097)	(106, 14.211285553284252)	(108, 15.942259988521995)	(110, 17.68753669662116)	(112, 19.518063758675545)	(114, 21.464610093482143)	(116, 23.476292450772547)	(118, 25.436198839247403)	(120, 27.32989384637669)	(122, 29.250653758445793)	(124, 31.228064599503757)	(126, 33.23559060944751)	(128, 35.185781215952304)	(130, 37.03677082091906)	(132, 38.852812969797405)	(134, 40.690514211686676)	(136, 42.5537441315704)	(138, 44.35721994403559)
SRR11780548_2 - polya	(1, 0.01368948900210009)	(2, 0.022517673181509275)	(3, 0.027785224685309886)	(4, 0.03515911402309946)	(5, 0.04158737033007065)	(6, 0.047793727189376876)	(7, 0.05424246652228637)	(8, 0.06946818246975929)	(9, 0.08740789935405753)	(10, 0.10757685222797458)	(12, 0.12313200350928855)	(14, 0.1467472254973253)	(16, 0.17848055343224334)	(18, 0.19949101728845908)	(20, 0.22207013954778326)	(22, 0.24518523431915976)	(24, 0.266475632863199)	(26, 0.2913829924041771)	(28, 0.3123524902085162)	(30, 0.3322585775828917)	(32, 0.3502904680839123)	(34, 0.36792635341679236)	(36, 0.384492000644396)	(38, 0.40101838873895124)	(40, 0.4210712711325512)	(42, 0.4376471598731241)	(44, 0.45585656993227663)	(46, 0.47556124088492546)	(48, 0.4923795120991015)	(50, 0.5095954954002464)	(52, 0.5299453816699518)	(54, 0.5577801070012792)	(56, 0.5789988149545343)	(58, 0.5982392039859149)	(60, 0.6172337967060358)	(62, 0.6356480370245714)	(64, 0.6552400513345595)	(66, 0.6764655869631275)	(68, 0.6960405320848337)	(70, 0.7182048730689072)	(72, 0.7382338585989126)	(74, 0.7549206970633179)	(76, 0.7760335760492251)	(78, 0.794113260277435)	(80, 0.8085452589697987)	(82, 0.824387172614249)	(84, 0.8465976004066836)	(86, 0.8699772675964299)	(88, 0.8864285512625447)	(90, 0.9041770932380855)	(92, 0.9209339153744466)	(94, 0.9435522967668193)	(96, 0.9601435477768459)	(98, 0.9730444402803211)	(100, 0.9859794711603604)	(102, 0.999424870770029)	(104, 1.012324056354676)	(106, 1.0242502982072539)	(108, 1.0376581456027023)	(110, 1.0495519559975444)	(112, 1.0605940138971186)	(114, 1.07161046801427)	(116, 1.083316517338011)	(118, 1.0947631149998667)	(120, 1.105637894854278)	(122, 1.1161832393748485)	(124, 1.1265357020678333)	(126, 1.1371424956662186)	(128, 1.1466158951626841)	(130, 1.1569137364531668)	(132, 1.1685310259978419)	(134, 1.1800237104680587)	(136, 1.1899443226975106)	(138, 1.1987759207145763)
