Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11780547_1	(1.0, 41.16267760139014)	(2.0, 16.943933539997282)	(3.0, 8.479921209670957)	(4.0, 4.999264421264915)	(5.0, 3.2747183942858826)	(6.0, 2.4462276599830406)	(7.0, 1.95382766209403)	(8.0, 1.459530039786597)	(9.0, 1.2247077658430174)	('>10', 11.30308688146632)	('>50', 2.6489861611166385)	('>100', 3.466259897247738)	('>500', 0.4184343711868685)	('>1k', 0.11469699421624063)	('>5k', 0.03570434269478619)	('>10k+', 0.06802305775558436)
SRR11780547_2	(1.0, 42.40010300936725)	(2.0, 16.58585903496306)	(3.0, 8.355835259471244)	(4.0, 4.9450965450722855)	(5.0, 3.325985432525063)	(6.0, 2.462770196300814)	(7.0, 1.8678855705546589)	(8.0, 1.467664004066862)	(9.0, 1.1234186400988777)	('>10', 10.977264685311338)	('>50', 2.516053850763034)	('>100', 3.421083689268048)	('>500', 0.40952506234623365)	('>1k', 0.10325764944425525)	('>5k', 0.0)	('>10k+', 0.0381973704470088)
SRR11780548_1	(1.0, 37.76400264095683)	(2.0, 16.108492326276256)	(3.0, 7.954900516187744)	(4.0, 4.981016441659063)	(5.0, 3.3785846799699946)	(6.0, 2.4058847069460336)	(7.0, 1.9136406145983678)	(8.0, 1.479998674983639)	(9.0, 1.2011663854764763)	('>10', 13.115766926593201)	('>50', 3.5070001074398984)	('>100', 4.8443922935885695)	('>500', 0.7980662227658322)	('>1k', 0.3980734891989346)	('>5k', 0.05766044482494631)	('>10k+', 0.09135352853420883)
SRR11780548_2	(1.0, 39.22023299301664)	(2.0, 15.71421774777805)	(3.0, 7.872313281739646)	(4.0, 4.790941366101241)	(5.0, 3.2503686249742154)	(6.0, 2.4023002259611457)	(7.0, 1.864253656740291)	(8.0, 1.5265513695272157)	(9.0, 1.2404480102481332)	('>10', 12.657116532993873)	('>50', 3.3309052013699887)	('>100', 4.939295492480487)	('>500', 0.7617749125393454)	('>1k', 0.33079509439998517)	('>5k', 0.0)	('>10k+', 0.09848549012978396)
SRR11780549_1	(1.0, 45.70829709875211)	(2.0, 16.565562397563784)	(3.0, 8.014959595789602)	(4.0, 4.717203802023272)	(5.0, 3.0593065281309655)	(6.0, 2.2025099648539532)	(7.0, 1.7083275290555482)	(8.0, 1.3312051414084132)	(9.0, 1.0955472279449505)	('>10', 9.405250949026799)	('>50', 2.2075652197208337)	('>100', 3.2294834944367237)	('>500', 0.44889559113334654)	('>1k', 0.13555734280102277)	('>5k', 0.0)	('>10k+', 0.17032811735876763)
SRR11780549_2	(1.0, 46.771899225661464)	(2.0, 16.72350780437329)	(3.0, 7.894397731868303)	(4.0, 4.468044398907103)	(5.0, 3.011759716489627)	(6.0, 2.1097732534251565)	(7.0, 1.6055828178721105)	(8.0, 1.2711986364920405)	(9.0, 1.0051919661137467)	('>10', 9.195192928596068)	('>50', 2.1728729655749435)	('>100', 3.1834830076957137)	('>500', 0.4219858377139427)	('>1k', 0.120271586060989)	('>5k', 0.0)	('>10k+', 0.04483812315568954)
SRR11780550_1	(1.0, 47.6837907164893)	(2.0, 17.949458691000444)	(3.0, 7.829484890973847)	(4.0, 4.351318381600192)	(5.0, 2.75586128060696)	(6.0, 1.9477781689125035)	(7.0, 1.4443170552160733)	(8.0, 1.053461553115485)	(9.0, 0.9168751682354087)	('>10', 8.18831328144556)	('>50', 2.1175432360838484)	('>100', 3.0254283171074157)	('>500', 0.3361510171063571)	('>1k', 0.15036567687605945)	('>5k', 0.0)	('>10k+', 0.24985256523050725)
SRR11780550_2	(1.0, 49.21837954951556)	(2.0, 17.46845287086776)	(3.0, 7.663956200219577)	(4.0, 4.189045474900388)	(5.0, 2.6401984963256035)	(6.0, 1.8213040895817572)	(7.0, 1.3858191308836543)	(8.0, 1.1091150060923296)	(9.0, 0.8580273369637003)	('>10', 8.00974091922608)	('>50', 2.0731330839857463)	('>100', 2.9924920357987164)	('>500', 0.31900055743129163)	('>1k', 0.11348452354719661)	('>5k', 0.04060247250556657)	('>10k+', 0.0972482521550888)
SRR11780551_1	(1.0, 42.09893988272934)	(2.0, 17.232326568873535)	(3.0, 8.433769661955541)	(4.0, 5.03755290720291)	(5.0, 3.2956055340243338)	(6.0, 2.3561303344891042)	(7.0, 1.7568378591017064)	(8.0, 1.3713764424536203)	(9.0, 1.2207125037419868)	('>10', 10.190579328412841)	('>50', 2.4933098281120265)	('>100', 3.6344463788982)	('>500', 0.5660905777586911)	('>1k', 0.18991484244316098)	('>5k', 0.0)	('>10k+', 0.12240734980316559)
SRR11780551_2	(1.0, 43.83980589284289)	(2.0, 16.95556893007367)	(3.0, 8.305960681248763)	(4.0, 4.818957301857412)	(5.0, 3.189422410277412)	(6.0, 2.2697101146337055)	(7.0, 1.657335262782397)	(8.0, 1.36686114390149)	(9.0, 1.1149136684420926)	('>10', 9.76897982367725)	('>50', 2.4112870665809862)	('>100', 3.5620305732320707)	('>500', 0.5286261102057629)	('>1k', 0.17451453952544627)	('>5k', 0.036026480718492127)	('>10k+', 0.0)
